PID,PID_Movie,MovieName,Writer
246,126,Spider-Man: Homecoming (2017) ,Jonathan Goldstein
247,126,Spider-Man: Homecoming (2017) ,John Francis Daley
248,126,Spider-Man: Homecoming (2017) ,10 more credits
249,127,The Big Sick (2017) ,Emily V. Gordon
250,127,The Big Sick (2017) ,Kumail Nanjiani
251,128,Jumanji: Welcome to the Jungle (2017) ,Chris McKenna
252,128,Jumanji: Welcome to the Jungle (2017) ,Erik Sommers
253,128,Jumanji: Welcome to the Jungle (2017) ,9 more credits
254,129,Colossal (2016) ,Nacho Vigalondo
255,130,Wonder (2017) ,Stephen Chbosky
256,130,Wonder (2017) ,Steve Conrad
257,130,Wonder (2017) ,2 more credits
258,131,The Killing of a Sacred Deer (2017) ,Yorgos Lanthimos
259,131,The Killing of a Sacred Deer (2017) ,Efthymis Filippou
260,132,The Meyerowitz Stories (2017) ,Noah Baumbach
261,133,Battle of the Sexes (2017) ,Simon Beaufoy
262,134,War Machine (2017) ,Michael Hastings
263,134,War Machine (2017) ,David Michôd
264,135,The Beguiled (2017) ,Sofia Coppola
265,135,The Beguiled (2017) ,Thomas Cullinan
266,135,The Beguiled (2017) ,2 more credits
267,136,It (2017) ,Chase Palmer
268,136,It (2017) ,Cary Joji Fukunaga
269,136,It (2017) ,2 more credits
270,137,Brad's Status (2017) ,Mike White
271,138,Stronger (2017) ,John Pollono
272,138,Stronger (2017) ,Jeff Bauman
273,138,Stronger (2017) ,1 more credit
274,139,Patti Cake$ (2017) ,Geremy Jasper
275,140,Guardians of the Galaxy Vol. 2 (2017) ,James Gunn
276,140,Guardians of the Galaxy Vol. 2 (2017) ,Dan Abnett
277,140,Guardians of the Galaxy Vol. 2 (2017) ,11 more credits
278,141,The Lego Batman Movie (2017) ,Seth Grahame-Smith
279,141,The Lego Batman Movie (2017) ,Chris McKenna
280,141,The Lego Batman Movie (2017) ,12 more credits
281,142,Atomic Blonde (2017) ,Kurt Johnstad
282,142,Atomic Blonde (2017) ,Antony Johnston
283,142,Atomic Blonde (2017) ,1 more credit
284,143,Wakefield (2016) ,E.L. Doctorow
285,143,Wakefield (2016) ,Robin Swicord
286,144,Beauty and the Beast (2017) ,Stephen Chbosky
287,144,Beauty and the Beast (2017) ,Evan Spiliotopoulos
288,144,Beauty and the Beast (2017) ,1 more credit
289,145,Brigsby Bear (2017) ,Kevin Costello
290,145,Brigsby Bear (2017) ,Kyle Mooney
291,145,Brigsby Bear (2017) ,1 more credit
292,146,Kong: Skull Island (2017) ,Dan Gilroy
293,146,Kong: Skull Island (2017) ,Max Borenstein
294,146,Kong: Skull Island (2017) ,2 more credits
295,147,Alien: Covenant (2017) ,Dan O'Bannon
296,147,Alien: Covenant (2017) ,Ronald Shusett
297,147,Alien: Covenant (2017) ,4 more credits
298,148,Goodbye Christopher Robin (2017) ,Frank Cottrell Boyce
299,148,Goodbye Christopher Robin (2017) ,Simon Vaughan
300,149,Victoria & Abdul (2017) ,Lee Hall
301,149,Victoria & Abdul (2017) ,Shrabani Basu
302,150,Suburbicon (2017) ,Joel Coen
303,150,Suburbicon (2017) ,Ethan Coen
304,150,Suburbicon (2017) ,2 more credits
305,151,Captain Fantastic (2016) ,Matt Ross
306,152,La La Land (2016) ,Damien Chazelle
307,153,Hacksaw Ridge (2016) ,Robert Schenkkan
308,153,Hacksaw Ridge (2016) ,Andrew Knight
309,154,Lion (2016) ,Saroo Brierley
310,154,Lion (2016) ,Luke Davies
311,155,Hell or High Water (2016) ,Taylor Sheridan
312,156,The Witch (2015) ,Robert Eggers
313,157,The Jungle Book (2016) ,Justin Marks
314,157,The Jungle Book (2016) ,Rudyard Kipling
315,158,Deadpool (2016) ,Rhett Reese
316,158,Deadpool (2016) ,Paul Wernick
317,159,Moonlight (2016) ,Barry Jenkins
318,159,Moonlight (2016) ,Tarell Alvin McCraney
319,160,Other People (2016) ,Chris Kelly
320,161,Zootopia (2016) ,Byron Howard
321,161,Zootopia (2016) ,Rich Moore
322,161,Zootopia (2016) ,7 more credits
323,162,Nocturnal Animals (2016) ,Tom Ford
324,162,Nocturnal Animals (2016) ,Austin Wright
325,163,Train to Busan (2016) ,Joo-Suk Park
326,163,Train to Busan (2016) ,Sang-ho Yeon
327,164,Don't Breathe (2016) ,Fede Alvarez
328,164,Don't Breathe (2016) ,Rodo Sayagues
329,165,Sing Street (2016) ,Simon Carmody
330,165,Sing Street (2016) ,John Carney
331,166,Doctor Strange (2016) ,Jon Spaihts
332,166,Doctor Strange (2016) ,Scott Derrickson
333,166,Doctor Strange (2016) ,3 more credits
334,167,The Conjuring 2 (2016) ,Chad Hayes
335,167,The Conjuring 2 (2016) ,Carey W. Hayes
336,167,The Conjuring 2 (2016) ,7 more credits
337,168,The Distinguished Citizen (2016) ,Andrés Duprat
338,169,Your Name. (2016) ,Makoto Shinkai
339,169,Your Name. (2016) ,Makoto Shinkai
340,169,Your Name. (2016) ,1 more credit
341,170,Miss Peregrine's Home for Peculiar Children (2016) ,Ransom Riggs
342,170,Miss Peregrine's Home for Peculiar Children (2016) ,Jane Goldman
343,171,Eddie the Eagle (2015) ,Sean Macaulay
344,171,Eddie the Eagle (2015) ,Simon Kelton
345,171,Eddie the Eagle (2015) ,1 more credit
346,172,Elle (2016) ,Philippe Djian
347,172,Elle (2016) ,David Birke
348,172,Elle (2016) ,1 more credit
349,173,Julieta (2016) ,Pedro Almodóvar
350,173,Julieta (2016) ,Alice Munro
351,174,Manchester by the Sea (2016) ,Kenneth Lonergan
352,175,10 Cloverfield Lane (2016) ,Josh Campbell
353,175,10 Cloverfield Lane (2016) ,Matthew Stuecken
354,175,10 Cloverfield Lane (2016) ,3 more credits
355,176,Hidden Figures (2016) ,Allison Schroeder
356,176,Hidden Figures (2016) ,Theodore Melfi
357,176,Hidden Figures (2016) ,1 more credit
358,177,Florence Foster Jenkins (2016) ,Nicholas Martin
359,178,The Invisible Guest (2016) ,Oriol Paulo
360,179,Deepwater Horizon (2016) ,Matthew Michael Carnahan
361,179,Deepwater Horizon (2016) ,Matthew Sand
362,179,Deepwater Horizon (2016) ,4 more credits
363,180,The Edge of Seventeen (2016) ,Kelly Fremon Craig
364,181,The Magnificent Seven (2016) ,Akira Kurosawa
365,181,The Magnificent Seven (2016) ,Shinobu Hashimoto
366,181,The Magnificent Seven (2016) ,3 more credits
367,182,The Shallows (2016) ,Anthony Jaswinski
368,183,X-Men: Apocalypse (2016) ,Simon Kinberg
369,183,X-Men: Apocalypse (2016) ,Bryan Singer
370,183,X-Men: Apocalypse (2016) ,3 more credits
371,184,Hush (2016) ,Mike Flanagan
372,184,Hush (2016) ,Kate Siegel
373,185,Captain America: Civil War (2016) ,Christopher Markus
374,185,Captain America: Civil War (2016) ,Stephen McFeely
375,185,Captain America: Civil War (2016) ,2 more credits
376,186,¿Qué culpa tiene el niño? (2016) ,Gustavo Loza
377,187,War Dogs (2016) ,Stephen Chin
378,187,War Dogs (2016) ,Todd Phillips
379,187,War Dogs (2016) ,2 more credits
380,188,A Monster Calls (2016) ,Patrick Ness
381,188,A Monster Calls (2016) ,Patrick Ness
382,188,A Monster Calls (2016) ,1 more credit
383,189,"I, Daniel Blake (2016) ",Paul Laverty
384,190,Lights Out (2016) ,Eric Heisserer
385,190,Lights Out (2016) ,David F. Sandberg
386,191,The Innocents (2016) ,Sabrina B. Karine
387,191,The Innocents (2016) ,Alice Vial
388,191,The Innocents (2016) ,3 more credits
389,192,Rogue One: A Star Wars Story (2016) ,Chris Weitz
390,192,Rogue One: A Star Wars Story (2016) ,Tony Gilroy
391,192,Rogue One: A Star Wars Story (2016) ,3 more credits
392,193,13 Hours (2016) ,Chuck Hogan
393,193,13 Hours (2016) ,Mitchell Zuckoff
394,194,Fantastic Beasts and Where to Find Them (2016) ,J.K. Rowling
395,195,The Boy (2016) ,Stacey Menear
396,196,The Nice Guys (2016) ,Shane Black
397,196,The Nice Guys (2016) ,Anthony Bagarozzi
398,197,Kubo and the Two Strings (2016) ,Marc Haimes
399,197,Kubo and the Two Strings (2016) ,Chris Butler
400,197,Kubo and the Two Strings (2016) ,2 more credits
401,198,Little Men (2016) ,Mauricio Zacharias
402,198,Little Men (2016) ,Ira Sachs
403,199,American Honey (2016) ,Andrea Arnold
404,200,The Founder (2016) ,Robert Siegel
405,201,Brooklyn (2015) ,Nick Hornby
406,201,Brooklyn (2015) ,Colm Tóibín
407,202,The Big Short (2015) ,Charles Randolph
408,202,The Big Short (2015) ,Adam McKay
409,202,The Big Short (2015) ,1 more credit
410,203,Mad Max: Fury Road (2015) ,George Miller
411,203,Mad Max: Fury Road (2015) ,Brendan McCarthy
412,203,Mad Max: Fury Road (2015) ,1 more credit
413,204,Sicario (2015) ,Taylor Sheridan
414,205,When Marnie Was There (2014) ,Joan G. Robinson
415,205,When Marnie Was There (2014) ,Keiko Niwa
416,205,When Marnie Was There (2014) ,3 more credits
417,206,The Martian (2015) ,Drew Goddard
418,206,The Martian (2015) ,Andy Weir
419,207,The Revenant (2015) ,Mark L. Smith
420,207,The Revenant (2015) ,Alejandro G. Iñárritu
421,207,The Revenant (2015) ,1 more credit
422,208,Anomalisa (2015) ,Charlie Kaufman
423,209,Spotlight (2015) ,Josh Singer
424,209,Spotlight (2015) ,Tom McCarthy
425,210,Room (2015) ,Emma Donoghue
426,210,Room (2015) ,Emma Donoghue
427,211,Inside Out (2015) ,Pete Docter
428,211,Inside Out (2015) ,Ronnie Del Carmen
429,211,Inside Out (2015) ,7 more credits
430,213,Mission: Impossible - Rogue Nation (2015) ,Christopher McQuarrie
431,213,Mission: Impossible - Rogue Nation (2015) ,Christopher McQuarrie
432,213,Mission: Impossible - Rogue Nation (2015) ,2 more credits
433,214,Creed (2015) ,Ryan Coogler
434,214,Creed (2015) ,Aaron Covington
435,214,Creed (2015) ,2 more credits
436,215,Beasts of No Nation (2015) ,Cary Joji Fukunaga
437,215,Beasts of No Nation (2015) ,Uzodinma Iweala
438,216,The Hateful Eight (2015) ,Quentin Tarantino
439,217,Mustang (2015) ,Deniz Gamze Ergüven
440,217,Mustang (2015) ,Alice Winocour
441,218,The Falling (2014) ,Carol Morley
442,219,The Final Girls (2015) ,M.A. Fortin
443,219,The Final Girls (2015) ,Joshua John Miller
444,220,Mississippi Grind (2015) ,Anna Boden
445,220,Mississippi Grind (2015) ,Ryan Fleck
446,221,Steve Jobs (2015) ,Aaron Sorkin
447,221,Steve Jobs (2015) ,Walter Isaacson
448,222,Carol (2015) ,Phyllis Nagy
449,222,Carol (2015) ,Patricia Highsmith
450,223,99 Homes (2014) ,Ramin Bahrani
451,223,99 Homes (2014) ,Bahareh Azimi
452,223,99 Homes (2014) ,2 more credits
453,224,Man Up (2015) ,Tess Morris
454,225,Victoria (2015) ,Sebastian Schipper
455,225,Victoria (2015) ,Olivia Neergaard-Holm
456,225,Victoria (2015) ,1 more credit
457,226,Southpaw (2015) ,Kurt Sutter
458,227,Kingsman: The Secret Service (2014) ,Jane Goldman
459,227,Kingsman: The Secret Service (2014) ,Matthew Vaughn
460,227,Kingsman: The Secret Service (2014) ,2 more credits
461,228,Straight Outta Compton (2015) ,Jonathan Herman
462,228,Straight Outta Compton (2015) ,Andrea Berloff
463,228,Straight Outta Compton (2015) ,3 more credits
464,229,The Stanford Prison Experiment (2015) ,Tim Talbott
465,229,The Stanford Prison Experiment (2015) ,Philip Zimbardo
466,230,Mistress America (2015) ,Noah Baumbach
467,230,Mistress America (2015) ,Greta Gerwig
468,231,Goodnight Mommy (2014) ,Veronika Franz
469,231,Goodnight Mommy (2014) ,Severin Fiala
470,232,Sleeping with Other People (2015) ,Leslye Headland
471,233,The Assassin (2015) ,Cheng Ah
472,233,The Assassin (2015) ,T'ien-wen Chu
473,233,The Assassin (2015) ,3 more credits
474,234,Star Wars: Episode VII - The Force Awakens (2015) ,Lawrence Kasdan
475,234,Star Wars: Episode VII - The Force Awakens (2015) ,J.J. Abrams
476,234,Star Wars: Episode VII - The Force Awakens (2015) ,2 more credits
477,235,Ex Machina (2014) ,Alex Garland
478,237,Avengers: Age of Ultron (2015) ,Joss Whedon
479,237,Avengers: Age of Ultron (2015) ,Stan Lee
480,237,Avengers: Age of Ultron (2015) ,4 more credits
481,238,Shaun the Sheep Movie (2015) ,Mark Burton
482,238,Shaun the Sheep Movie (2015) ,Richard Starzak
483,238,Shaun the Sheep Movie (2015) ,1 more credit
484,239,Cop Car (2015) ,Jon Watts
485,239,Cop Car (2015) ,Christopher Ford
486,240,Black Mass (2015) ,Mark Mallouk
487,240,Black Mass (2015) ,Jez Butterworth
488,240,Black Mass (2015) ,2 more credits
489,241,Tangerine (2015) ,Sean Baker
490,241,Tangerine (2015) ,Chris Bergoch
491,242,Clouds of Sils Maria (2014) ,Olivier Assayas
492,243,Grandma (2015) ,Paul Weitz
493,244,Cinderella (2015) ,Chris Weitz
494,244,Cinderella (2015) ,Charles Perrault
495,245,The Lobster (2015) ,Yorgos Lanthimos
496,245,The Lobster (2015) ,Efthymis Filippou
497,246,What We Do in the Shadows (2014) ,Jemaine Clement
498,246,What We Do in the Shadows (2014) ,Taika Waititi
499,247,Paddington (2014) ,Paul King
500,247,Paddington (2014) ,Hamish McColl
501,247,Paddington (2014) ,2 more credits
502,248,Bone Tomahawk (2015) ,S. Craig Zahler
503,249,The Man from U.N.C.L.E. (2015) ,Guy Ritchie
504,249,The Man from U.N.C.L.E. (2015) ,Lionel Wigram
505,249,The Man from U.N.C.L.E. (2015) ,5 more credits
506,250,Take Me to the River (2015) ,Matt Sobel
507,251,The Duff (2015) ,Josh A. Cagan
508,251,The Duff (2015) ,Kody Keplinger
